date,African Sun Limited,Axia Corporation Limited,Caledonia Mining Corporation Plc,Edgars Stores Limited,First Capital Bank Limited,Innscor Africa Limited,National Foods Holdings Limited,Nedbank Group Limited Zimbabwe Depository Receipts,Padenga Holdings Limited,Seed Co International Limited Vx,Simbisa Brands Limited,West Prop Holdings Limited,Zimplow Holdings Limited
31 05 2024,0.042,0.0822,18,0.0176,0.0339,0.4385,1.31,11,0.1656,0.2,0.3214,10,0.0121
05 06 2024,0.042,0.0826,18,0.02,0.031,0.4487,1.4784,11,0.1701,0.2,0.349,10,0.015
05 06 2024,0.042,0.0986,18,0.02,0.0305,0.4487,11,0.2,1.5,0.17,0.3493,10,0.015
07 06 2024,0.0305,0.4665,1.5,0.17,11,0.2,0.33,0.015,10,0.02,18,0.0986,0.042
10 06 2024,0.03,0.465,18,1.5,11,0.17,0.3314,10,0.2002,0.0165,0.0976,0.018,0.042
11 06 2024,0.0988,0.4583,1.5,11,0.17,0.2002,0.3395,10,0.015,18,0.018,0.03,0.042
12 06 2024,0.04,0.0988,18,0.019,0.03,0.4554,1.5,11,0.16,0.2002,0.3496,10,0.015
13 06 2024,0.04,18,0.4512,1.5,0.019,0.033,0.35,10,0.015,11,0.2002,0.1595,0.0978
14 06 2024,0.0412,0.0976,18,0.0195,0.0331,0.46,1.5,11,0.21,0.159,0.3496,10,0.015
17 06 2024,0.042,0.0976,18,0.018,0.0331,0.4267,1.5,11,0.159,0.21,0.3492,10,0.015
18 06 2024,0.04,0.0972,16.0049,0.018,0.0334,0.4213,1.5,11,0.16,0.21,0.349,10,0.0179
19 06 2024,0.04,0.0972,16.0049,0.018,0.0352,0.45,1.5,11,0.1595,0.21,0.345,10,0.016
